FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
0.0,-1.02982101838683,0.0,-2.4550968777000675,0.0,-1.0819919817291002,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-1.029828373282041,0.0,-2.45508696873807,0.0,-1.0819988754157137,0.0,0.0,0.0,0.0,0.3032518003861161,0.587887374613509,0.08204082409983582,0.06356820966879684
0.0,-1.02982101838683,0.0,-2.4550968777000675,0.0,-1.0819919817291002,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-1.029828373282041,0.0,-2.45508696873807,0.0,-1.0819988754157137,0.0,0.0,0.0,0.0,0.11791106633011039,0.07575840323439986,0.10824484523542499,0.4888379278373396
0.0,-1.0320891562505707,0.0,-2.4751950622802523,0.0,-0.5725528143510648,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-1.0320966529040616,0.0,-2.4751870146169237,0.0,-0.5725568888800927,0.0,0.0,0.0,0.0,0.12417673536728213,0.6426793846585551,0.9068375207873264,0.1917475359655192
0.0,-1.0193976153796562,0.0,-2.384549577533261,0.0,-0.1571352465630511,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-1.0194057312592033,0.0,-2.384542855669954,0.0,-0.1571366831937855,0.0,0.0,0.0,0.0,0.33014140709353623,0.013255658755128685,0.29502024013433015,0.3323936260519603
0.0,-0.9932320922870126,0.0,-2.1995356346152546,0.0,0.24801305267043017,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.9932416389971159,0.0,-2.199528586916159,0.0,0.24801218623987853,0.0,0.0,0.0,0.0,0.1151784736902125,0.836758090121054,0.3650797672896958,0.5835450509931225
0.0,-0.8650512316519388,0.0,-2.049443057705032,0.0,0.8166756853201114,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.8650677637915907,0.0,-2.049424209490698,0.0,0.8166898953972477,0.0,0.0,0.0,0.0,0.5633438936914987,0.5692502356272928,0.4431903686529949,0.19338671770881188
0.0,-0.6417901309280385,0.0,-2.0657286882477077,0.0,0.873501346561143,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.6418098340920642,0.0,-2.0657048485513085,0.0,0.8735288296729027,0.0,0.0,0.0,0.0,0.24593000445658164,0.7920530668152206,0.8092672817043116,0.8316341549092764
0.0,-0.5027873189867007,0.0,-1.9566687521815123,0.0,0.7267981149432194,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.502807378077823,0.0,-1.9566475497692295,0.0,0.7268219546396186,0.0,0.0,0.0,0.0,0.27578062638727263,0.26457627738049005,0.30800828656340795,0.9785992076388204
0.0,-0.3490658503988655,0.0,-1.9229836195814993,0.0,1.0064058502955056,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.3490658503988655,0.0,-1.922987100100003,0.0,1.0064283427918492,0.0,0.0,0.0,0.0,0.7640014892746404,0.8809553220634747,0.6381576083291607,0.4379427580227331
0.0,-0.3490658503988655,0.0,-1.5550773148053425,0.0,1.2374494883855838,0.0,-0.7072128993115321,0.0,-2.54647731427099,0.0,-1.2200123900542819,0.0,-0.7016766722350845,0.0,-2.4429011500417843,0.0,-1.291829114896439,0.0,-0.3490658503988655,0.0,-1.5550878290897119,0.0,1.2374389741012153,0.0,0.0,0.0,0.0,0.34224735163964193,0.4988615831803306,0.44855135275975855,0.45321259009856274
