FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-1.1095109091096358,0.0,-2.448626622643039,0.0,-0.8919320842027698,0.44191455149455383,0.9136474798092528,0.51417830997849,0.7360564099424582,0.7732127515949974,0.9599839472900302,0.07005227551453153,0.7723603631694003
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-1.1095109091096358,0.0,-2.448626622643039,0.0,-0.8919320842027698,0.8405354480193322,0.8980623617470158,0.6181777518939852,0.48210165591998355,0.2724854298456495,0.24451345260481205,0.7897311987464902,0.514648845104122
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-1.1090236963792712,0.0,-2.444291037852877,0.0,-0.4196289363539334,0.238427225887047,0.7545435563322807,0.05245179126388477,0.8301912692830494,0.654253197802408,0.03653638246193214,0.5130378329631341,0.7730924288370893
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-1.0965544781814414,0.0,-2.33871605190946,0.0,-0.030360887806495818,0.5968875886162106,0.2141347448661276,0.7965727884007475,0.14904024145550998,0.6683134824289622,0.7708074023966007,0.7906385716016765,0.9624721385109303
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-1.0741426333199353,0.0,-2.1500214288556325,0.0,0.37272031387328686,0.40577285095405125,0.5636136981790908,0.07480129174794059,0.2967415873542699,0.6308704892421743,0.18759785001723484,0.9194582883001955,0.13268148840947103
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.9210380317090747,0.0,-2.07496762895111,0.0,0.8186003212078652,0.8815375234563683,0.41972527828369643,0.4167953266418951,0.08273267024139153,0.3466092970559945,0.51039263611789,0.3787528257105861,0.238941816019842
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.6536302400358585,0.0,-2.2069537636435186,0.0,0.7599331398274809,0.6199501969167016,0.6691979398474686,0.10054821472702291,0.6189512916522042,0.4101364416543224,0.3941273044779484,0.7719413078058892,0.32286627956958025
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.48453077903081265,0.0,-2.1813344239267884,0.0,0.5855730395474086,0.3537770046087756,0.561079421668587,0.8325845875444616,0.9360779502808925,0.1496470666631965,0.0517059796907231,0.7951265090961914,0.7656280041412751
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-2.1123018743484323,0.0,0.6111923792641387,0.801312726597194,0.4703621051683372,0.43850674295643755,0.7253320746730301,0.7694133336246528,0.6310385982036443,0.7496797161191564,0.7801516033676709
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-1.9386837118496034,0.0,0.8538430913413237,0.4441670711160103,0.13993788637602578,0.025955620442417393,0.4598890358476796,0.5318720362069603,0.14849088892247275,0.5546493000291769,0.2037781523668507
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-1.6304443308100094,0.0,1.1522757487301223,0.9032931583484797,0.7981099929149595,0.16328188020419376,0.4186795649107856,0.35390240992916844,0.7652847184492808,0.29320505408889175,0.6339954868854845
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-1.557551298488205,0.0,1.0030769983977286,0.2341798418288159,0.3250595942441542,0.6706387289751438,0.8543802032881844,0.154729960150514,0.8523007900095176,0.16517194681605496,0.7777227718887357
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3511429347490207,0.0,-1.5771543041512013,0.0,0.6944639351072417,0.8664928117502637,0.7850758854501055,0.1715586116293829,0.10447937024015197,0.7781496079477204,0.21929971334134324,0.758422818054395,0.6881875894557031
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-1.5331131713271455,0.0,0.2286924467499598,0.3199397170363878,0.9917817381665631,0.34375730553249517,0.7891058675601716,0.9872797840987816,0.07603550802604375,0.5429996066534728,0.9558300858637236
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.3490658503988655,0.0,-1.4517110279414123,0.0,-0.09592964865023923,0.8934877491904932,0.71736555183329,0.40363747553117435,0.4501445254572669,0.5238740394475573,0.6295056449132628,0.15282832089307086,0.710660680680789
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.350898987734511,0.0,-1.3563605646678152,0.0,-0.35552349819821405,0.21509495897658137,0.7951716676675668,0.1949488255436176,0.5223744974054234,0.9350029004494826,0.47859975751301653,0.45405090780254176,0.32742221927810333
