FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.41749553789449134,0.1709155326862145,0.8959828936894187,0.0349398753331609,0.9024690366437483,0.7435687744503636,0.5231772576390952,0.6272607923222718
0.0,-1.0441926517345843,0.0,-2.4642166565137757,0.0,-1.0225650721915507,0.0,-1.0364324715016178,0.0,-2.4870134224691047,0.0,-1.0327796527742619,0.0,-1.0364324715016178,0.0,-2.4870134224691047,0.0,-1.0327796527742619,0.0,-1.0441926517345843,0.0,-2.4642166565137757,0.0,-1.0225650721915507,0.8527375038940124,0.08227061186958484,0.6532663113632344,0.7307831205341733,0.5881324747500004,0.1732732606291565,0.39150757441430895,0.6470406910912971
0.0,-1.043851204676729,0.0,-2.4486271130338015,0.0,-1.0461194331364858,0.0,-1.032093047083272,0.0,-2.4651273119193355,0.0,-0.9537573335651048,0.0,-1.032157493069529,0.0,-2.4635261845622276,0.0,-1.0472440175704225,0.0,-1.043851204676729,0.0,-2.4486271130338015,0.0,-1.0461194331364858,0.8475796376109563,0.9555203243853025,0.6086862611213738,0.35223859369267685,0.15027862790176783,0.6236727428887902,0.2529997573446223,0.46160357281904973
0.0,-1.043782379594476,0.0,-2.444785579946491,0.0,-1.0530110134759179,0.0,-1.030102687078994,0.0,-2.45561086829545,0.0,-0.8616765364538912,0.0,-1.0302666794661306,0.0,-2.4528884577898675,0.0,-1.0549034440267704,0.0,-1.043782379594476,0.0,-2.444785579946491,0.0,-1.0530110134759179,0.8074723881806813,0.6182812852946669,0.3924632259659576,0.0725406079367189,0.10140739874659976,0.8941674693705942,0.4840647355128893,0.8507663381962205
0.0,-1.0437656210293031,0.0,-2.443792878417638,0.0,-1.0548430772404052,0.0,-1.028194559225061,0.0,-2.4468707770541327,0.0,-0.7657537716645502,0.0,-1.0293883765444711,0.0,-2.447888723276976,0.0,-1.0587196688228477,0.0,-1.0437656210293031,0.0,-2.443792878417638,0.0,-1.0548430772404052,0.6783154058128754,0.260667201068985,0.2266521934003306,0.45551570000547614,0.5462383178058824,0.6656517954010822,0.0832826127326769,0.7174955696231643
0.0,-1.0437613088326714,0.0,-2.443533279636842,0.0,-1.0553254178007334,0.0,-1.0251118051001882,0.0,-2.4331055536756976,0.0,-0.6704027909941273,0.0,-1.0289708517968945,0.0,-2.4454982401744236,0.0,-1.0605910527940914,0.0,-1.0437613088326714,0.0,-2.443533279636842,0.0,-1.0553254178007334,0.13954894216945224,0.5516589590837456,0.13297617071906875,0.0445124505528558,0.08835516813124777,0.3863310295753708,0.8560825520928425,0.2615039932310801
0.0,-1.0437601825110123,0.0,-2.4434651826205354,0.0,-1.0554521624604343,0.0,-1.020381177244909,0.0,-2.4121603306022132,0.0,-0.5763587013618245,0.0,-1.02877015842056,0.0,-2.444345964506556,0.0,-1.0615036936434938,0.0,-1.0437601825110123,0.0,-2.4434651826205354,0.0,-1.0554521624604343,0.7213956386894639,0.8587959856595864,0.6653653543404286,0.9102853195780349,0.6558435042877029,0.689374837207049,0.16472573298765603,0.08404259978378181
0.0,-1.0437598871528486,0.0,-2.4434473052063432,0.0,-1.055485451563885,0.0,-1.0139800170955615,0.0,-2.3836255075850827,0.0,-0.48300036507665745,0.0,-1.028673172937376,0.0,-2.4437883631638972,0.0,-1.0619477803428792,0.0,-1.0437598871528486,0.0,-2.4434473052063432,0.0,-1.055485451563885,0.4511135580547767,0.596957913984087,0.6509665535055676,0.49462396843193523,0.7555320673954588,0.7975759331947698,0.8122403063176611,0.8083617856801067
0.0,-1.0437598096194245,0.0,-2.443442610877945,0.0,-1.0554941937932956,0.0,-1.006069250128827,0.0,-2.347614228788921,0.0,-0.3896710436577546,0.0,-1.0286261829625616,0.0,-2.4435180227677917,0.0,-1.0621636576453453,0.0,-1.0437598096194245,0.0,-2.443442610877945,0.0,-1.0554941937932956,0.932009743942904,0.9765524082742669,0.6245643706180997,0.4065292887353361,0.508170890707336,0.49399244727917135,0.314122735043015,0.17271816349457658
0.0,-1.0437597892608155,0.0,-2.4434413781523117,0.0,-1.0554964895646473,0.0,-0.9968797980835946,0.0,-2.304298749615987,0.0,-0.2959809073776132,0.0,-1.0286033874591443,0.0,-2.443386834442804,0.0,-1.062268550902398,0.0,-1.0437597892608155,0.0,-2.4434413781523117,0.0,-1.0554964895646473,0.45140599734537823,0.06574832644944373,0.3925393068928693,0.5194741099042702,0.7802432107890112,0.31249262197964633,0.4820265686032519,0.037017473327356165
